"exposure","outcome","beta","se","t_value","p_value","n","df","p_fdr","sig_fdr05","sig_fdr01","sig_bonf"
"log_URXUTL","log_LBXHSCRP",-0.130932434261723,0.0554303318646526,-2.36210807074776,0.0561222435902628,1587,6,0.351365428225118,FALSE,FALSE,FALSE
"log_URXUTU","log_LBXHSCRP",0.0607422212409448,0.0380907900840982,1.59466950165213,0.161896555146614,1587,6,0.48638537998238,FALSE,FALSE,FALSE
"log_URX2MH","log_LBXHSCRP",0.039271205756692,0.0432599123490041,0.907796701941216,0.398977705195405,1543,6,0.69612855513837,FALSE,FALSE,FALSE
"log_URX34M","log_LBXHSCRP",0.0414637880319555,0.0436311675926083,0.950324969964361,0.378639903554156,1543,6,0.687134796620019,FALSE,FALSE,FALSE
"log_URXAAM","log_LBXHSCRP",-0.0597198527479111,0.0577265100756506,-1.03453080170009,0.340772266180287,1543,6,0.658609025352032,FALSE,FALSE,FALSE
"log_URXAMC","log_LBXHSCRP",0.0150576234558302,0.0575464168118815,0.261660487134297,0.802333904569098,1543,6,0.926853532767388,FALSE,FALSE,FALSE
"log_URXATC","log_LBXHSCRP",-0.00735024411533011,0.0291542130583465,-0.252116018381975,0.809365417148389,1543,6,0.93152672694103,FALSE,FALSE,FALSE
"log_URXBMA","log_LBXHSCRP",-0.139886392384726,0.0382005262126072,-3.66189700126591,0.0105555735668626,1543,6,0.185203687145482,FALSE,FALSE,FALSE
"log_URXBPM","log_LBXHSCRP",-0.0300568710679035,0.028462828062171,-1.05600437884284,0.331619616877283,1543,6,0.654377866808204,FALSE,FALSE,FALSE
"log_URXCEM","log_LBXHSCRP",0.0388519877886092,0.0485728522140691,0.799870421802319,0.454279934529446,1543,6,0.731112719443869,FALSE,FALSE,FALSE
"log_URXCYHA","log_LBXHSCRP",0.0518299581276721,0.0552590598262921,0.937944986588633,0.384475717785485,1543,6,0.689476290460362,FALSE,FALSE,FALSE
"log_URXCYM","log_LBXHSCRP",-0.0203974616440443,0.0428496489466246,-0.476024008258557,0.650895009544509,1543,6,0.859701459786372,FALSE,FALSE,FALSE
"log_URXDHB","log_LBXHSCRP",-0.112435050235641,0.0894812367590444,-1.25652096805956,0.255631716680984,1543,6,0.590629237096859,FALSE,FALSE,FALSE
"log_URXGAM","log_LBXHSCRP",0.0269844744375127,0.0649721062491474,0.415323990483483,0.692348052375029,1543,6,0.880811934392594,FALSE,FALSE,FALSE
"log_URXHEM","log_LBXHSCRP",0.00544657201237426,0.041415372697017,0.13151087766902,0.899670179030366,1543,6,0.966053726078097,FALSE,FALSE,FALSE
"log_URXHP2","log_LBXHSCRP",0.0345300802387251,0.0372326220733463,0.92741467873798,0.389494192792533,1543,6,0.693075857425083,FALSE,FALSE,FALSE
"log_URXHPM","log_LBXHSCRP",0.0226447022910761,0.0519765721251295,0.435671329701405,0.678312195515034,1543,6,0.876655447335248,FALSE,FALSE,FALSE
"log_URXIPM3","log_LBXHSCRP",-0.0173306996449814,0.0516088137998392,-0.335808912644207,0.748446624894052,1543,6,0.903784603645648,FALSE,FALSE,FALSE
"log_URXMAD","log_LBXHSCRP",0.132940349570001,0.0620229115191537,2.14340711059569,0.0757929751908146,1543,6,0.35619674042301,FALSE,FALSE,FALSE
"log_URXMB3","log_LBXHSCRP",-0.0310466516569789,0.0454842727405507,-0.682579928980591,0.520340732207299,1543,6,0.783328794003511,FALSE,FALSE,FALSE
"log_URXPHE","log_LBXHSCRP",0.0229747401405173,0.0693496807117567,0.331288333337956,0.751691458421532,1543,6,0.90656256292044,FALSE,FALSE,FALSE
"log_URXPHG","log_LBXHSCRP",-0.0630954070436985,0.134720177356974,-0.468344150679909,0.656068913698069,1543,6,0.862185020054957,FALSE,FALSE,FALSE
"log_URXPMM","log_LBXHSCRP",0.0210256908853966,0.0774283615124102,0.271550249478372,0.795069356480599,1543,6,0.922376534406495,FALSE,FALSE,FALSE
"log_URXTTC","log_LBXHSCRP",-0.0521588854140504,0.0453153784004682,-1.1510195270379,0.293519537178826,1543,6,0.620658052184302,FALSE,FALSE,FALSE
"log_URX24D","log_LBXHSCRP",-0.0818973735629861,0.0557932090302126,-1.46787350981439,0.192514701672426,1586,6,0.518412660885074,FALSE,FALSE,FALSE
"log_URXCPM","log_LBXHSCRP",0.0138060481859769,0.047070052888346,0.293308533532478,0.779166803499162,1587,6,0.917791572219872,FALSE,FALSE,FALSE
"log_URX4FP","log_LBXHSCRP",-0.152516916469241,0.0576736140703143,-2.64448342500777,0.0383100660599472,1587,6,0.301294910506596,FALSE,FALSE,FALSE
"log_URXOPM","log_LBXHSCRP",-0.0113960530651957,0.0379281324852093,-0.300464386682887,0.773961825277565,1585,6,0.916768485927766,FALSE,FALSE,FALSE
"log_URXOXY","log_LBXHSCRP",0.0328040006464014,0.0640486781499207,0.512172953353011,0.626830285378679,1587,6,0.848740583869579,FALSE,FALSE,FALSE
"log_URXPAR","log_LBXHSCRP",0.0045148046692818,0.0407287031891908,0.110850685530297,0.915349799152553,1587,6,0.971883242271424,FALSE,FALSE,FALSE
"log_URXTCC","log_LBXHSCRP",0.000710705021147133,0.0375033732406213,0.0189504292477174,0.985495112200729,1586,6,0.997001912758468,FALSE,FALSE,FALSE
"log_URXMAL","log_LBXHSCRP",-0.116464056231866,0.0422563159376348,-2.75613369617343,0.0330225169079895,1587,6,0.282606183171537,FALSE,FALSE,FALSE
"log_URXOP1","log_LBXHSCRP",-0.0790198551309157,0.0196149467203988,-4.02855313640683,0.00689158835659015,1580,6,0.150361927780149,FALSE,FALSE,FALSE
"log_URXOP2","log_LBXHSCRP",-0.0463924031049881,0.0416767236379622,-1.11314899673952,0.308241781837961,1580,6,0.636504074139986,FALSE,FALSE,FALSE
"log_URXOP3","log_LBXHSCRP",-0.0400089482885868,0.01873832770903,-2.13513974725217,0.0766631947312806,1578,6,0.35619674042301,FALSE,FALSE,FALSE
"log_URXOP4","log_LBXHSCRP",0.00810891535491838,0.0308252167929316,0.26306109732788,0.80130374602546,1572,6,0.92625116939728,FALSE,FALSE,FALSE
"log_URXOP5","log_LBXHSCRP",-0.0193460525064524,0.0367795183353796,-0.526000703164257,0.617754152590341,1581,6,0.846500730919285,FALSE,FALSE,FALSE
"log_URXOP6","log_LBXHSCRP",0.1681650985539,0.247858601518758,0.678471909078264,0.522764777490901,1581,6,0.783871465685504,FALSE,FALSE,FALSE
"log_URXBCPP","log_LBXHSCRP",-0.0181964152747475,0.0522400431343622,-0.348323128829469,0.739493615643396,1577,6,0.899194263480253,FALSE,FALSE,FALSE
"log_URXBCEP","log_LBXHSCRP",0.0483185029755848,0.0278675791214135,1.73386079806468,0.13363982114967,1580,6,0.447622154079758,FALSE,FALSE,FALSE
"log_URXBDCP","log_LBXHSCRP",0.022468398456863,0.0308814763759591,0.72756879183258,0.494277856246558,1577,6,0.761606476128831,FALSE,FALSE,FALSE
"log_URXDBUP","log_LBXHSCRP",0.0630159348731968,0.0411079737667718,1.53293702167665,0.176181390068365,1577,6,0.501300816489187,FALSE,FALSE,FALSE
"log_URXDPHP","log_LBXHSCRP",0.0389938542814412,0.0382707186642532,1.01889527143538,0.347564536535568,1581,6,0.661171884957634,FALSE,FALSE,FALSE
"log_URXTBBA","log_LBXHSCRP",0.0858357787415129,0.12582910368557,0.68216156856688,0.520587261014833,1581,6,0.783328794003511,FALSE,FALSE,FALSE
"log_LBXPFHS","avg_SBP",0.291135142783179,0.455761455419266,0.638788426097501,0.543287958691734,1514,7,0.799295259703186,FALSE,FALSE,FALSE
"log_LBXPFNA","avg_SBP",0.212277797696873,0.721326875341849,0.294287936514594,0.777073154402757,1514,7,0.916768485927766,FALSE,FALSE,FALSE
"log_LBXPFDE","avg_SBP",-0.60121179343014,0.812816313430181,-0.739665018401211,0.483565289988145,1514,7,0.75417857193172,FALSE,FALSE,FALSE
"log_LBXPFUA","avg_SBP",-0.0573442860897464,1.05941160058309,-0.0541284294585641,0.958345279604519,1514,7,0.986605897412996,FALSE,FALSE,FALSE
"log_LBXMPAH","avg_SBP",1.19707503060574,0.722019324087077,1.65795428276013,0.141292261804698,1514,7,0.459020545964503,FALSE,FALSE,FALSE
"log_LBXBPB","avg_SBP",1.48696721765664,0.611103578208965,2.43324907704628,0.0452044951175408,4662,7,0.321405686075553,FALSE,FALSE,FALSE
"log_LBXBCD","avg_SBP",0.621746029147027,0.46322894334466,1.34220030522666,0.221428990633922,4662,7,0.555334913177511,FALSE,FALSE,FALSE
