"exposure","outcome","beta","se","t_value","p_value","n","df","weight","p_fdr","sig_fdr05","sig_fdr01"
"log_URXUP8","LBXSATSI",1.09816528840851,0.778688521817774,1.41027542802987,0.201312493724377,1578,7,"WTSA2YR",0.42810758159108,FALSE,FALSE
"log_URXUP8","LBXSTR",11.858749629538,8.50537669124669,1.39426507020464,0.205891952680805,1579,7,"WTSA2YR",0.428300257438048,FALSE,FALSE
"log_LBXBGM","LBXSATSI",0.411485435989164,0.29952902508605,1.37377483157417,0.211887696696072,4834,7,"WTMEC2YR",0.428300257438048,FALSE,FALSE
"log_LBXBGM","LBXSUA",0.0340982547704199,0.0248468475517116,1.37233726328679,0.212314096229931,4833,7,"WTMEC2YR",0.428300257438048,FALSE,FALSE
"log_LBXBGM","LBXHSCRP",-0.244680470184818,0.178338512647183,-1.37200017288965,0.212414190887635,4829,7,"WTMEC2YR",0.428300257438048,FALSE,FALSE
"log_LBXBGM","LBXSTR",-1.87808187898751,1.37469956812126,-1.3661762340947,0.214150128719024,4833,7,"WTMEC2YR",0.428300257438048,FALSE,FALSE
"log_LBXVBZ","LBXSUA",-0.0713396197801974,0.0532128394398011,-1.34064674111034,0.221908047262822,2319,7,"WTMEC2YR",0.438594728707695,FALSE,FALSE
"log_URXUDMA","LBDHDD",-0.761235842804904,0.59277226274901,-1.28419612495807,0.239939864951565,1597,7,"WTSA2YR",0.463811140831756,FALSE,FALSE
"log_URXUP8","eGFR",-0.805429885809992,0.627552803020922,-1.28344560319515,0.240187912216445,1579,7,"WTSA2YR",0.463811140831756,FALSE,FALSE
"log_LBXBGM","LBXSNASI",-0.12881321487617,0.101184823757957,-1.27304876454895,0.243646867233122,4836,7,"WTMEC2YR",0.465144019263233,FALSE,FALSE
"log_URXUP8","LBXRBCSI",0.01648109533241,0.0132801821705412,1.24102931125217,0.254569385206806,1589,7,"WTSA2YR",0.480535468704983,FALSE,FALSE
"log_SSGLYP","LBXWBCSI",-0.119004224099769,0.0967635893619948,-1.22984507793083,0.258481734930425,1387,7,"WTSSBJ2Y",0.480963016913663,FALSE,FALSE
"log_LBXBGM","LBXSCLSI",-0.099024000347292,0.0808973006238848,-1.2240705138937,0.260521634161567,4836,7,"WTMEC2YR",0.480963016913663,FALSE,FALSE
"log_URXUP8","LBXSUA",0.0518319709003875,0.0458583135103532,1.13026334665983,0.295600572918933,1579,7,"WTSA2YR",0.538024007240812,FALSE,FALSE
"log_URXUP8","LBXHSCRP",-0.228241029301822,0.203974509093979,-1.11896839617671,0.300076031999945,1577,7,"WTSA2YR",0.538024007240812,FALSE,FALSE
"log_URXUIO","LBXWBCSI",0.117760043560422,0.105466780649311,1.11656052109894,0.301037242146645,1600,7,"WTSA2YR",0.538024007240812,FALSE,FALSE
"log_URXUDMA","LBXRBCSI",0.0225145562002864,0.020453848183413,1.10074915968842,0.307411535326513,1603,7,"WTSA2YR",0.542983608387052,FALSE,FALSE
"log_URXUP8","LBXSGB",-0.0166761130846691,0.0153571497519579,-1.08588594589585,0.313502963935147,1579,7,"WTSA2YR",0.542983608387052,FALSE,FALSE
"log_URXUP8","LBXSC3SI",-0.107697862771479,0.0991809191914878,-1.08587280345272,0.313508392937762,1579,7,"WTSA2YR",0.542983608387052,FALSE,FALSE
"log_URXUIO","LBXGLU",2.12800707405953,1.99659570875689,1.065817713985,0.321881461337092,781,7,"WTSA2YR",0.551796790863586,FALSE,FALSE
"log_URXUDMA","LBXHSCRP",-0.13616423768918,0.130900847147197,-1.0402089876169,0.332831892397913,1591,7,"WTSA2YR",0.564805635584337,FALSE,FALSE
"log_URXUDMA","LBXSASSI",-0.637592877800981,0.619566200965633,-1.02909564273721,0.337674907506478,1587,7,"WTSA2YR",0.567293844610883,FALSE,FALSE
"log_URXUIO","LBXSCH",-1.69172061580929,1.65945861351273,-1.01944128165285,0.341926997130275,1590,7,"WTSA2YR",0.568749856612734,FALSE,FALSE
"log_SSGLYP","PHQ9_total",0.139991881217709,0.139799801056165,1.00137396591477,0.349996949499875,1307,7,"WTSSBJ2Y",0.5740935005482,FALSE,FALSE
"log_URXUDMA","LBXSTP",0.0144119782156987,0.0144553842019615,0.996997244372316,0.351973991407527,1593,7,"WTSA2YR",0.5740935005482,FALSE,FALSE
"log_LBXVBZ","LBXRBCSI",-0.0173918966404767,0.0179524853970157,-0.96877375226094,0.364931214149138,2327,7,"WTMEC2YR",0.584803041920256,FALSE,FALSE
"log_URXUP8","LBXSTP",-0.0120504719016382,0.0124546437128235,-0.967548504758176,0.36550190120016,1579,7,"WTSA2YR",0.584803041920256,FALSE,FALSE
